score,threshold,retained_fraction,abort_fraction,conditional_failure,selected_patterns_or_shots,ci_low,ci_high
phi,3.4760986898352733,0.9999999999999996,4.440892098500626e-16,0.016418097822240005,128,,
phi,10.42829606950582,0.8081553399999998,0.19184466000000022,0.0002070398532044594,16,,
D_min,6.9521973796705465,0.9999999999999996,4.440892098500626e-16,0.016418097822240005,128,,
D_min,10.42829606950582,0.8081553399999998,0.19184466000000022,0.0002070398532044594,16,,
minus_W,-3.4760986898352733,0.9999999999999996,4.440892098500626e-16,0.016418097822240005,128,,
minus_W,-0.0,0.8081553399999998,0.19184466000000022,0.0002070398532044594,16,,
decoder_comparative_gap,3.4760986898352724,0.9999999999999996,4.440892098500626e-16,0.016418097822240005,128,,
decoder_comparative_gap,10.428296069505818,0.8081553399999998,0.19184466000000022,0.0002070398532044594,16,,
