score,value,retained_fraction,abort_fraction,conditional_failure,selected_patterns_or_shots,ci_low,ci_high
phi,3.4760986898352733,0.19184465999999994,0.8081553400000001,0.084708,112,,
phi,10.42829606950582,0.8081553399999998,0.19184466000000022,0.0002070398532044594,16,,
D_min,6.9521973796705465,0.19184465999999994,0.8081553400000001,0.084708,112,,
D_min,10.42829606950582,0.8081553399999998,0.19184466000000022,0.0002070398532044594,16,,
minus_W,-3.4760986898352733,0.19184465999999994,0.8081553400000001,0.084708,112,,
minus_W,-0.0,0.8081553399999998,0.19184466000000022,0.0002070398532044594,16,,
