score,target_retained,retained_fraction,abort_fraction,conditional_failure,ci_low,ci_high
phi,1.0,0.9999999999999996,4.440892098500626e-16,0.016418097822240005,,
phi,0.9,0.9000000000000002,0.09999999999999976,0.008830330913600021,,
phi,0.75,0.75,0.25,0.00020703985320445943,,
phi,0.5,0.5,0.5,0.0002070398532044594,,
D_min,1.0,0.9999999999999996,4.440892098500626e-16,0.016418097822240005,,
D_min,0.9,0.9000000000000002,0.09999999999999976,0.008830330913600021,,
D_min,0.75,0.75,0.25,0.00020703985320445943,,
D_min,0.5,0.5,0.5,0.0002070398532044594,,
minus_W,1.0,0.9999999999999996,4.440892098500626e-16,0.016418097822240005,,
minus_W,0.9,0.9000000000000002,0.09999999999999976,0.008830330913600021,,
minus_W,0.75,0.75,0.25,0.00020703985320445943,,
minus_W,0.5,0.5,0.5,0.0002070398532044594,,
