shot_id,probability,physical_error,final_correction,hard_prediction,failure,D_r,D_g,D_b,W,minimizing_color,phi,D_min,minus_W,delta_class,delta_corr,within_class_suboptimality,optimal_class_gap
0,0.8079828447811298,0000000,0000000,0,0,10.42829606950582,10.42829606950582,10.42829606950582,0.0,r,10.42829606950582,10.42829606950582,-0.0,10.42829606950582,10.42829606950582,0.0,10.42829606950582
1,0.024989160147869994,0000001,0000001,0,0,6.9521973796705465,6.9521973796705465,6.9521973796705465,3.4760986898352733,r,3.4760986898352733,6.9521973796705465,-3.4760986898352733,3.4760986898352733,3.4760986898352733,0.0,3.4760986898352733
2,0.024989160147869994,0000010,0000010,0,0,6.9521973796705465,6.9521973796705465,6.9521973796705465,3.4760986898352733,r,3.4760986898352733,6.9521973796705465,-3.4760986898352733,3.4760986898352733,3.4760986898352733,0.0,3.4760986898352733
3,0.0007728606231299999,0000011,1000000,1,1,6.9521973796705465,6.9521973796705465,6.9521973796705465,3.4760986898352733,r,3.4760986898352733,6.9521973796705465,-3.4760986898352733,3.4760986898352733,3.4760986898352733,0.0,3.4760986898352733
4,0.024989160147869994,0000100,0000100,0,0,6.9521973796705465,6.9521973796705465,6.9521973796705465,3.4760986898352733,r,3.4760986898352733,6.9521973796705465,-3.4760986898352733,3.4760986898352733,3.4760986898352733,0.0,3.4760986898352733
5,0.0007728606231299999,0000101,0010000,1,1,6.9521973796705465,6.9521973796705465,6.9521973796705465,3.4760986898352733,r,3.4760986898352733,6.9521973796705465,-3.4760986898352733,3.4760986898352733,3.4760986898352733,0.0,3.4760986898352733
6,0.0007728606231299999,0000110,0100000,1,1,6.9521973796705465,6.9521973796705465,6.9521973796705465,3.4760986898352733,r,3.4760986898352733,6.9521973796705465,-3.4760986898352733,3.4760986898352733,3.4760986898352733,0.0,3.4760986898352733
7,2.3902905869999993e-05,0000111,0001000,0,0,6.9521973796705465,6.9521973796705465,6.9521973796705465,3.4760986898352733,r,3.4760986898352733,6.9521973796705465,-3.4760986898352733,3.4760986898352733,3.4760986898352733,0.0,3.4760986898352733
8,0.024989160147869994,0001000,0001000,0,0,6.9521973796705465,6.9521973796705465,6.9521973796705465,3.4760986898352733,r,3.4760986898352733,6.9521973796705465,-3.4760986898352733,3.4760986898352733,3.4760986898352733,0.0,3.4760986898352733
9,0.0007728606231299999,0001001,0100000,1,1,6.9521973796705465,6.9521973796705465,6.9521973796705465,3.4760986898352733,r,3.4760986898352733,6.9521973796705465,-3.4760986898352733,3.4760986898352733,3.4760986898352733,0.0,3.4760986898352733
10,0.0007728606231299999,0001010,0010000,1,1,6.9521973796705465,6.9521973796705465,6.9521973796705465,3.4760986898352733,r,3.4760986898352733,6.9521973796705465,-3.4760986898352733,3.4760986898352733,3.4760986898352733,0.0,3.4760986898352733
11,2.3902905869999993e-05,0001011,0000100,0,0,6.9521973796705465,6.9521973796705465,6.9521973796705465,3.4760986898352733,r,3.4760986898352733,6.9521973796705465,-3.4760986898352733,3.4760986898352733,3.4760986898352733,0.0,3.4760986898352733
12,0.0007728606231299999,0001100,1000000,1,1,6.9521973796705465,6.9521973796705465,6.9521973796705465,3.4760986898352733,r,3.4760986898352733,6.9521973796705465,-3.4760986898352733,3.4760986898352733,3.4760986898352733,0.0,3.4760986898352733
13,2.3902905869999993e-05,0001101,0000010,0,0,6.9521973796705465,6.9521973796705465,6.9521973796705465,3.4760986898352733,r,3.4760986898352733,6.9521973796705465,-3.4760986898352733,3.4760986898352733,3.4760986898352733,0.0,3.4760986898352733
14,2.3902905869999993e-05,0001110,0000001,0,0,6.9521973796705465,6.9521973796705465,6.9521973796705465,3.4760986898352733,r,3.4760986898352733,6.9521973796705465,-3.4760986898352733,3.4760986898352733,3.4760986898352733,0.0,3.4760986898352733
15,7.392651299999999e-07,0001111,0000000,0,0,10.42829606950582,10.42829606950582,10.42829606950582,0.0,r,10.42829606950582,10.42829606950582,-0.0,10.42829606950582,10.42829606950582,0.0,10.42829606950582
16,0.024989160147869994,0010000,0010000,1,0,6.9521973796705465,6.9521973796705465,6.9521973796705465,3.4760986898352733,r,3.4760986898352733,6.9521973796705465,-3.4760986898352733,3.4760986898352733,3.4760986898352733,0.0,3.4760986898352733
