shot_id,probability,physical_error,final_correction,hard_prediction,failure,D_r,D_g,D_b,W,minimizing_color,phi,D_min,minus_W,decoder_comparative_gap
0,0.00390625,0000000010000000000,0000000010000000000,0,0,13.904394759341093,13.904394759341093,13.904394759341093,3.4760986898352733,r,10.42829606950582,13.904394759341093,-3.4760986898352733,10.428296069505818
1,0.00390625,0000000000000000000,0000000000000000000,0,0,17.380493449176367,17.380493449176367,17.380493449176367,0.0,r,17.380493449176367,17.380493449176367,-0.0,17.380493449176363
2,0.00390625,0100000100000000000,0100000100000000000,1,0,13.904394759341093,13.904394759341093,10.42829606950582,6.9521973796705465,b,3.476098689835273,10.42829606950582,-6.9521973796705465,3.476098689835273
3,0.00390625,0000000000000001000,0000000000000001000,0,0,13.904394759341093,13.904394759341093,13.904394759341093,3.4760986898352733,r,10.42829606950582,13.904394759341093,-3.4760986898352733,10.428296069505818
4,0.00390625,0000000000000000000,0000000000000000000,0,0,17.380493449176367,17.380493449176367,17.380493449176367,0.0,r,17.380493449176367,17.380493449176367,-0.0,17.380493449176363
5,0.00390625,0000000000100000000,0000000000100000000,0,0,17.380493449176367,17.380493449176367,17.380493449176367,3.4760986898352733,r,13.904394759341093,17.380493449176367,-3.4760986898352733,17.380493449176363
6,0.00390625,1000000000100000000,1000000000100000000,1,0,13.904394759341093,13.904394759341093,13.904394759341093,6.9521973796705465,r,6.9521973796705465,13.904394759341093,-6.9521973796705465,10.42829606950582
7,0.00390625,0010000000000000000,0010000000000000000,1,0,13.904394759341093,13.904394759341093,13.904394759341093,3.4760986898352733,r,10.42829606950582,13.904394759341093,-3.4760986898352733,10.428296069505818
8,0.00390625,0000000000000000000,0000000000000000000,0,0,17.380493449176367,17.380493449176367,17.380493449176367,0.0,r,17.380493449176367,17.380493449176367,-0.0,17.380493449176363
9,0.00390625,0000000000000000100,0000000000000000100,0,0,13.904394759341093,13.904394759341093,13.904394759341093,3.4760986898352733,r,10.42829606950582,13.904394759341093,-3.4760986898352733,10.428296069505818
10,0.00390625,0000000000000000000,0000000000000000000,0,0,17.380493449176367,17.380493449176367,17.380493449176367,0.0,r,17.380493449176367,17.380493449176367,-0.0,17.380493449176363
11,0.00390625,0000000000000000000,0000000000000000000,0,0,17.380493449176367,17.380493449176367,17.380493449176367,0.0,r,17.380493449176367,17.380493449176367,-0.0,17.380493449176363
12,0.00390625,0000001000000000001,0000001000000000001,0,0,10.42829606950582,13.904394759341093,13.904394759341093,6.9521973796705465,r,3.476098689835273,10.42829606950582,-6.9521973796705465,3.476098689835273
13,0.00390625,0000000000000000000,0000000000000000000,0,0,17.380493449176367,17.380493449176367,17.380493449176367,0.0,r,17.380493449176367,17.380493449176367,-0.0,17.380493449176363
14,0.00390625,0000000000000000000,0000000000000000000,0,0,17.380493449176367,17.380493449176367,17.380493449176367,0.0,r,17.380493449176367,17.380493449176367,-0.0,17.380493449176363
15,0.00390625,0000000000000100000,0000000000000100000,0,0,13.904394759341093,13.904394759341093,17.380493449176367,3.4760986898352733,r,10.42829606950582,13.904394759341093,-3.4760986898352733,10.428296069505818
16,0.00390625,0000000000000000000,0000000000000000000,0,0,17.380493449176367,17.380493449176367,17.380493449176367,0.0,r,17.380493449176367,17.380493449176367,-0.0,17.380493449176363
17,0.00390625,0010000000000100000,0010000000000100000,1,0,10.42829606950582,13.904394759341093,13.904394759341093,6.9521973796705465,r,3.476098689835273,10.42829606950582,-6.9521973796705465,3.476098689835273
18,0.00390625,0000000000000000000,0000000000000000000,0,0,17.380493449176367,17.380493449176367,17.380493449176367,0.0,r,17.380493449176367,17.380493449176367,-0.0,17.380493449176363
19,0.00390625,0000000000000000000,0000000000000000000,0,0,17.380493449176367,17.380493449176367,17.380493449176367,0.0,r,17.380493449176367,17.380493449176367,-0.0,17.380493449176363
20,0.00390625,0000000000000000010,0000000000000000010,0,0,13.904394759341093,13.904394759341093,13.904394759341093,3.4760986898352733,r,10.42829606950582,13.904394759341093,-3.4760986898352733,10.428296069505818
21,0.00390625,0010000100000000000,0010000100000000000,1,0,13.904394759341093,13.904394759341093,10.42829606950582,6.9521973796705465,b,3.476098689835273,10.42829606950582,-6.9521973796705465,3.476098689835273
22,0.00390625,0000000000000001000,0000000000000001000,0,0,13.904394759341093,13.904394759341093,13.904394759341093,3.4760986898352733,r,10.42829606950582,13.904394759341093,-3.4760986898352733,10.428296069505818
23,0.00390625,0000000000000000000,0000000000000000000,0,0,17.380493449176367,17.380493449176367,17.380493449176367,0.0,r,17.380493449176367,17.380493449176367,-0.0,17.380493449176363
24,0.00390625,0000001000000000000,0000001000000000000,0,0,13.904394759341093,17.380493449176367,13.904394759341093,3.4760986898352733,r,10.42829606950582,13.904394759341093,-3.4760986898352733,10.428296069505818
25,0.00390625,0000000000000000000,0000000000000000000,0,0,17.380493449176367,17.380493449176367,17.380493449176367,0.0,r,17.380493449176367,17.380493449176367,-0.0,17.380493449176363
26,0.00390625,0000000000000000000,0000000000000000000,0,0,17.380493449176367,17.380493449176367,17.380493449176367,0.0,r,17.380493449176367,17.380493449176367,-0.0,17.380493449176363
27,0.00390625,0000000000000010000,0000000000000010000,0,0,13.904394759341093,13.904394759341093,13.904394759341093,3.4760986898352733,r,10.42829606950582,13.904394759341093,-3.4760986898352733,10.428296069505818
28,0.00390625,0000000000000000000,0000000000000000000,0,0,17.380493449176367,17.380493449176367,17.380493449176367,0.0,r,17.380493449176367,17.380493449176367,-0.0,17.380493449176363
29,0.00390625,0000000000000000000,0000000000000000000,0,0,17.380493449176367,17.380493449176367,17.380493449176367,0.0,r,17.380493449176367,17.380493449176367,-0.0,17.380493449176363
30,0.00390625,0000000000000000000,0000000000000000000,0,0,17.380493449176367,17.380493449176367,17.380493449176367,0.0,r,17.380493449176367,17.380493449176367,-0.0,17.380493449176363
31,0.00390625,0000000000000000000,0000000000000000000,0,0,17.380493449176367,17.380493449176367,17.380493449176367,0.0,r,17.380493449176367,17.380493449176367,-0.0,17.380493449176363
32,0.00390625,0000000000000010000,0000000000000010000,0,0,13.904394759341093,13.904394759341093,13.904394759341093,3.4760986898352733,r,10.42829606950582,13.904394759341093,-3.4760986898352733,10.428296069505818
33,0.00390625,0000000000010000000,0000000000010000000,0,0,17.380493449176367,13.904394759341093,13.904394759341093,3.4760986898352733,g,10.42829606950582,13.904394759341093,-3.4760986898352733,10.428296069505818
